Company,Content
AADHAR HOUSING FINAN,Copyright 2017. Aadhar Housing Finance Limited. All Rights Reserved |  Privacy Policy
AAMAADMIPARTY,"ले कर रहेंगे पूर्ण राज्य ! With full statehood, several dreams of the people of Delhi will be realized; read the "
Aavas Financiers Lim,"

CARE ratings has upgraded the Long term ratings of the Company
					 from “CARE A+/Positive to CARE AA-/Stable”
				            Aavas raises INR 200 crores from CDC Group through issuance of Rupee Denominated Masala Bonds
					            Aavas Financiers is now an 
						ISO 9001:2015 certified company.

"
ABHIPRA CAPITAL LTD,Complete Financial Market Services under one roof
ANDB ,"Andhra Bank (BSE: 532418, NSE: ANDHRABANK)  is a medium-sized public sector bank (PSB) of India, with a network of 2885 branches, 4 extension counters, 38 satellite offices and 3798 automated teller machines (ATMs) as of 31 March 2019.[7] During 2011–12, the bank entered the states of Tripura and Himachal Pradesh. The bank now operates in 25 states and three Union Territories. Andhra Bank has its headquarters in Hyderabad, Telangana, India.
"
BARB ,"Bank of Baroda (BoB) is an Indian multinational, public sector banking and financial services company. It is owned by Government of India.
"
BKID ,"Bank of India (BOI) is commercial bank with headquarters at Bandra Kurla complex, Mumbai and it is one of the top 5 banks in India. Founded in 1906, it has been government-owned since nationalisation in 1969. Bank of India has 5100 branches as on 31 January 2017, including 56 offices outside India, which includes five subsidiaries, five representative offices, and one joint venture.[5] BoI is a founder member of SWIFT (Society for Worldwide Inter Bank Financial Telecommunications), which facilitates provision of cost-effective financialprocessing and communication services.
"
CITI ,"Citibank is the consumer division of financial services multinational Citigroup.[2] Citibank was founded in 1812 as the City Bank of New York, and later became  First National City Bank of New York. Citibank provides credit cards, mortgages, personal loans, commercial loans, and lines of credit.
"
CNRB ,"Canara Bank is one of the largest public sector banks owned by the Government of India. It is headquartered in Bengaluru. It was established at Mangalore in 1906 by Ammembal Subba Rao Pai. It is one of the oldest public sector banks in the country. The government nationalized the bank in 1969. As of 31 March 2019, the bank had a network of 6310 branches and more than 8851 ATMs which is spread across 4467 centers. The bank also has offices abroad in London, Hong Kong, Moscow, Shanghai, Dubai, Tanzania and New York.[5]
"
CORP ,"0 (zero) is both a number[1] and the numerical digit used to represent that number in numerals. The number 0 fulfills a central role in mathematics as the additive identity of the integers, real numbers, and many other algebraic structures. As a digit, 0 is used as a placeholder in place value systems. Names for the number 0 in English include zero, nought (UK), naught (US) (/nɔːt/), nil, or—in contexts where at least one adjacent digit distinguishes it from the letter ""O""—oh or o (/oʊ/). Informal or slang terms for zero include zilch and zip.[2]
Ought and aught (/ɔːt/),[3] as well as cipher,[4] have also been used historically.[5]
"
DR FILE DTD ,"A DTD defines the valid building blocks of an XML document. It defines the document structure with a list of validated elements and attributes. A DTD can be declared inline inside an XML document, or as an external reference.[1]
"
DR TPZ DT ,Dynosure Doctor Dt Sino Japan Bp Monitor (Black)
HDFC ,"HDFC Bank Limited (Housing Development Finance Corporation) is an Indian banking and financial services company headquartered in Mumbai,  Maharashtra. It has 88,253 permanent employees as of 31 March 2018[8] and has a presence in Bahrain, Hong Kong and Dubai.[9] HDFC Bank is  India’s largest private sector lender by assets.[10] It is the largest bank in India by market capitalization as of February 2016.[11] It was ranked 69th in 2016 BrandZ Top 100 Most Valuable Global Brands.[12]
"
HSBC ,"HSBC Holdings plc  is a British[6] multinational banking and financial services holding company. It was the 7th largest bank in the world by 2018, and the largest in Europe, with total assets of US$2.558 trillion (as of December 2018[update]). HSBC traces its origin to a hong in Hong Kong, and its present form was established in London by the Hongkong and Shanghai Banking Corporation to act as a new group holding company in 1991.[7][8] The origins of the bank lie mainly in Hong Kong and to a lesser extent in Shanghai, where branches were first opened in 1865.[1] The HSBC name is derived from the initials of the Hongkong and Shanghai Banking Corporation.[9] The company was first formally incorporated in 1866.[10]
"
IBKL ,"Industrial Development Bank of India (IDBI) was established in 1964 by an Act to provide credit and other financial facilities for the development of the fledgling Indian industry. Initially it operated as a subsidiary of Reserve Bank of India RBI transferred it to GOI . Many institutes of national importance finds their roots in IDBI like Sidbi, Exim bank, NSE and NSDL. The war cry for reforms in financial space saw GOI reducing its stake in the bank in the year 2019. At present, Life Insurance Corporation
 of India holds 51% stake in  IDBI Bank. For the first quarter of the current financial year 2017-18, the bank reported a net loss of Rs.853 crore compared to a profit of Rs.241 crore during the corresponding period last financial year. In the fourth quarter of financial year 2016-17, the bank had reported a loss of Rs.3,200 crore.
While the reported loss was lower than the preceding quarter, bad loans continued to surge. In the quarter ending September 2017 the bank bounced back with a loss of Rs.198 crore compared to a loss of over Rs.2,000 crore in the previous quarter. The bank is expected to return to profit in the upcoming financial year.
"
ICIC ,"ICICI Bank Limited is an Indian multinational banking and financial services company headquartered in Mumbai, Maharashtra with its registered office in Vadodara, Gujarat. As of 2018[update], ICICI Bank is the second largest bank in India in terms of assets and market capitalisation. It offers a wide range of banking products and financial services for corporate and retail customers through a variety of delivery channels and specialised subsidiaries in the areas of investment banking, life, non-life insurance, venture capital and asset management. As on March 31, 2018, the bank has a network of 4867 branches and 14367 ATMs across India and has a presence in 17 countries including India.[4]
"
IDIB ,"Indian Bank[2][3][4] is an Indian state-owned financial services company established in 1907 and headquartered in Chennai, India. It has 20,924 employees, 2900 branches with 2861 ATMs and 1014 cash deposit machines and is one of the top performing public sector banks in India. Total business of the bank has touched Rs.4.30 lakh Crores as on 31 March 2019.Bank's Information Systems & Security processes certified with ISO27001:2013 standard and is among very few Banks certified worldwide. It has overseas branches in Colombo and Singapore including a Foreign Currency Banking Unit at Colombo and Jaffna. It has 227 Overseas Correspondent banks in 75 countries. Since 1969 the Government of India has owned the bank.
"
IOBA ,"Indian Overseas Bank (IOB) is a major public sector bank based in Chennai, India, with about 3,400 domestic branches, including 1,150 branches in Tamil Nadu, 3 extension counters, and 8 branches and offices overseas as of 31 October 2017. Indian Overseas Bank has an ISO certified in-house information technology department, which had developed the software that its branches used to provide online banking to customers earlier. The bank has achieved 100 percent networking status as well as 100 percent CBS status for its branches. IOB has a network of about 3,300 ATMs all over India. IOB has branches in Hong Kong, Singapore, Colombo, Seoul, and Bangkok. It has representative offices in Guangzhou, Vietnam, and Dubai. IOB also is part-owner of a joint-venture bank in Malaysia.
"
KKBK ,"Kotak Mahindra Bank is an Indian private sector bank headquartered in Mumbai, Maharashtra, India. In February 2003, Reserve Bank of India (RBI) issued the licence to Kotak Mahindra Finance Ltd., the group's flagship company, to carry on banking business.[2]
"
MAHB ,"Bank of Maharashtra is a major public sector bank in India. Government of India holds 87.01% of the total shares.[5] The bank has 15 million customers across the length and breadth of the country served through 1897 branches as of 5 April 2016. It has largest network of branches by any public sector bank in the state of Maharashtra.[6]
"
ORBC ,"Oriental Bank of Commerce is an India-based bank established in Lahore (then the city of United India, and currently in Pakistan), is one of the public sector banks in India. It is one of the promising public sector banks in India headquartered at Gurugram, India. It has approximately 2700 branches and 2621 ATMs pan India.
"
PSIB ,"Punjab & Sind Bank is a government-owned bank (79.62%), with headquarters in New Delhi. Of its 1554 branches spread throughout India, 623 branches are in Punjab state. Net NPA is 6.93% for the year ending 2017-18. The bank's operating profit for the year ending 2017-18 is Rs. 1144.71 crores. Total business of the bank was Rs. 1,71,464.95 crores for the year ending 2017-18. The net worth of the bank as on 31.03.18 is Rs. 4733.96 crore.
"
SBIN ,"The State Bank of India (SBI) is an Indian multinational, public sector banking and financial services statutory body. It is a government corporation  statutory body headquartered in Mumbai, Maharashtra. SBI is ranked as 216th in the Fortune Global 500 list of the world's biggest corporations of 2018. It is the largest bank in India with a 23% market share in assets, besides a share of one-fourth of the total loan and deposits market.[5][6]
"
SBTR ,"State Bank of Travancore (SBT) was a major Indian bank headquartered in Thiruvananthapuram, Kerala, and was a major associate of State Bank of India.
"
SCBL ,"Standard Chartered PLC is a British multinational banking and financial services company headquartered in London, England. It operates a network of more than 1,200 branches and outlets (including subsidiaries, associates and joint ventures) across more than 70 countries and employs around 87,000 people. It is a universal bank with operations in consumer, corporate and institutional banking, and treasury services. Despite its UK base, it does not conduct retail banking in the UK, and around 90% of its profits come from Asia, Africa and the Middle East.
"
SIBL ,"South Indian Bank Limited (SIB) (BSE: 532218, NSE: SOUTHBANK) is a major private sector bank headquartered at Thrissur in Kerala, India. South Indian Bank has 857 branches, 4 service branches,54 ext.counters
and 20 Regional Offices spread across more than 27 states and 3 union territories in India. It has set up 1334[2] ATMs and 42 Bulk Note Acceptor/Cash Deposit Machines all over India.
"
SYNB ,"Syndicate Bank is one of the oldest and major commercial banks of India. It was founded by T M A Pai, Upendra Pai and Vaman Kudva. At the time of its establishment, the bank was known as Canara Industrial and Banking Syndicate Limited. The bank, along with 13 major commercial banks of India, was nationalised on 19 July 1969, by the Government of India. The Bank have headquarter in the university town of Manipal, India.
"
UBIN ,"Union Bank of India (UBI; BSE: 532477) is one of the largest government-owned banks of India; the government owns over 90% of its share capital. It is listed on the Forbes 2000, and has assets of US$13.45 billion. UBI has around 4,300 branches. Four of these are overseas in Hong Kong, Dubai, Antwerp, and Sydney. UBI also has representative offices at Shanghai, Beijing and Abu Dhabi. Lastly, UBI operates in the United Kingdom through its wholly owned subsidiary, Union Bank of India (UK).
"
UCBA ,"UCO Bank, formerly United Commercial Bank, established in 1943 in Kolkata, is a major government-owned commercial bank of India. During FY 2013-14, its total business was ₹ 4.55 lakh crore. Based on 2014 data, it is ranked 1860 on Forbes Global 2000 List. UCO Bank was ranked 294th among India's most trusted brands according to the Brand Trust Report 2014, a study conducted by Trust Research Advisory.[2] It was a rise of 796 ranks considering it was listed at the 1090th position among India's most trusted brands in the Brand trust Report 2013.[3] As of 30 March 2017[update] the bank had 4,000 plus service units 49 zonal offices spread all over India. It also has two overseas branches in Singapore and Hong Kong. UCO Bank's headquarters is on BTM Sarani, Kolkata.
"
UTIB ,"Axis Bank is the third-largest of the private-sector banks in India offering a comprehensive suite of financial products. The bank has its head office in Mumbai, Maharashtra. It has 4050 branches, 11,801 ATMs and 4,917 cash recyclers spread across the country as on 31 March 2019 and nine international offices. The bank employs over 55,000 people and had a market capitalization of ₹1.31 trillion (US$19 billion) (as on 31 March 2018).[2] It sells financial services to large and mid-size corporates, SME and retail businesses.[1]
"
VIJB ,"Vijaya Bank[2][3][4] was a public sector bank with its corporate office in Bengaluru, Karnataka, India. It was one of the nationalised banks in India. The bank offered a wide range of financial products and services to customers through its various delivery channels. The bank had a network of 2031 branches (as of March 2017) throughout the country and over 4000 customer touch points including 2001 ATMs.[5][6]
"
YESB ,"Yes Bank Limited is India's fourth largest private sector bank, founded by Rana Kapoor and Ashok Kapur in 2004.[4] It primarily operates as a corporate bank, with retail banking and also asset management as subsidiary functions.[5]
"
ACHAL,"0 (zero) is both a number[1] and the numerical digit used to represent that number in numerals. The number 0 fulfills a central role in mathematics as the additive identity of the integers, real numbers, and many other algebraic structures. As a digit, 0 is used as a placeholder in place value systems. Names for the number 0 in English include zero, nought (UK), naught (US) (/nɔːt/), nil, or—in contexts where at least one adjacent digit distinguishes it from the letter ""O""—oh or o (/oʊ/). Informal or slang terms for zero include zilch and zip.[2]
Ought and aught (/ɔːt/),[3] as well as cipher,[4] have also been used historically.[5]
"
ACHAL AND ACHAL,"


Loading...
    
"
ACHAL CHIT O,"HTTP 403 provides a distinct error case from HTTP 401; while HTTP 401 is returned when the client has not authenticated, and implies that a successful response may be returned following valid authentication, HTTP 403 is returned when the client is not permitted access to the resource despite providing authentication such as insufficient permissions of the authenticated account. 
"
ACHAL CHITTS,"
        This question is for testing whether or not you are a human visitor and to prevent automated spam submissions.      "
ACHAL GOYAL,"Facebook, Inc. is an American online social media and social networking service company based in Menlo Park, California. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes. It is considered one of the Big Four technology companies along with Amazon, Apple, and Google.[9][10]
"
ACHALA,"Achala Main Page | Buddhist Iconography Main PageDatabase Search: All Objects | Painting | Sculpture | MandalaAchala, Krodharaja (English: the Immovable One, King of the Wrathful)Principal Subjects & Related Topics:- Achala Description (below)- Achala Outline Page- Types & Forms of Achala- Common Names- Mandalas- Iconographic Forms (Textual)- Unusual or Unidentified Iconography- Related Deities- Related Teachers- Art History Topics- Achala: Masterworks- Confusions: Vighnantaka, Vajrapani, Black Manjushri, Black Hayagriva- Others...Krodharaja Achala (English: the Immovable One, King of the Wrathful). Achala, also known as Krodha Chanda and Chanda Maharoshana, is a meditational deity in wrathful appearance. He is not a protector. There are however forms of Achala that are included in the Anuttarayoga groupings of the Ten Wrathful Ones. Explanations and descriptions for these deities including Achala are found in the Tantras such as Guhyasamaja, Hevajra, Chakrasamvara, Vajrabhairava, etc. In the context of these Tantras, and the Twelve Wrathful Ones, Achala is a protector deity as part of a group of protectors within a larger system, or cycle, of practice. Tantras specifically devoted to Achala can be found in the Kriya, Charya and Anuttarayoga classifications. In the Kriya classification there are several Tantras that teach the rituals and meditations of Achala. The Siddhaikavira Tantra is one of the most popular - catalogued by the Sakyas as a Charya Tantra - also known as the White Manjushri Tantra. From this last Tantra Achala, in a kneeling posture, takes on his primary role as a remover of obstacles and secondly as the special remover of obstacles for the meditational practices related to Manjushri. The continuation of this practice of linking the two deities, Manjushri and Achala,is still found in the Sakya Tradition and likely others (as yet undocumented). (See Tantra Classifications).In the Kadam Tradition of Atisha, Achala is counted as one of the four principle deities (Kadam Lha Shi): [1] Akshobhya, [2] Avalokiteshvara, [3] Tara and [4] Achala. In this configuration of four, Achala has the same role as a meditational deity and remover of obstacles.Of the two Kriya Tantra practices, the Achala depicted in a kneeling posture was continued through many traditions but specially through the Sakya Tradition following the commentary by Lobpon Sonam Tsemo (1142-1182). The commentary is still in use today as the principal explanatory text. The practice of Achala in a standing posture was popularized by both Lord Atisha (982-1054) the founder of the Kadampa School followed by Mitra Yogin (12th - 13th century) famous for the text known as the Mitra Gyatsa.In the higher Tantras of Anuttarayoga there are three, possibly more, Tantras specific to Achala. The most famous of these is the Chandamaharoshana Tantra where the deity is depicted in a kneeling posture while embracing a consort, surrounded by a retinue of eight mandala figures. Jeff Watt 2-2003 [updated 9-2012, 12-2014, 8-2017, 10-2018]"
ACHALA KULSHRESTHA,"ನವೆಂಬರ್ 2016 ರಂತೆ 89 ಆವೃತ್ತಿಗಳು ಇವೆ.  ಸೆಪ್ಟೆಂಬರ್ 2016 ರ ಪ್ರಕಾರ, ಮೂವತ್ತೊಂದು ಆವೃತ್ತಿಗಳು ಪ್ರತಿ 1,000 ಕ್ಕೂ ಹೆಚ್ಚು ಲೇಖನಗಳು ಒಳಗೊಂಡಿವೆ.[೩] [೪]
"
ACHAY LAL ,"ನವೆಂಬರ್ 2016 ರಂತೆ 89 ಆವೃತ್ತಿಗಳು ಇವೆ.  ಸೆಪ್ಟೆಂಬರ್ 2016 ರ ಪ್ರಕಾರ, ಮೂವತ್ತೊಂದು ಆವೃತ್ತಿಗಳು ಪ್ರತಿ 1,000 ಕ್ಕೂ ಹೆಚ್ಚು ಲೇಖನಗಳು ಒಳಗೊಂಡಿವೆ.[೩] [೪]
"
ACHDR FTPZ DT ,NACH â Mandate Management System (MMS)
