,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan
68,1.2188717846018375,0.0,0.0,1.2188717846018375,0.0,0.0,0.0,0.0,0.0,1.0583848998129861,1.2188717846018375,0.0,0.0,0.0,1.2188717846018375,0.0,1.2188717846018375,0.0,1.2188717846018375,1.2188717846018375,0.6235438733637727,1.2188717846018375,0.0,1.2188717846018375,0.0,1.0583848998129861,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,0.0
72,1.297225313074185,0.0,0.0,1.297225313074185,0.0,0.0,0.0,0.0,0.0,1.126421745385951,1.297225313074185,1.297225313074185,0.0,0.0,1.297225313074185,0.0,0.0,0.0,1.297225313074185,1.297225313074185,0.0,1.297225313074185,0.0,0.0,0.0,1.126421745385951,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1112321737062774,1.2797324894862703,0.0,0.0,0.0,1.2797324894862703,0.0,1.2797324894862703,1.2797324894862703,1.2797324894862703,1.2797324894862703,0.6546786655041005,1.2797324894862703,0.0,1.2797324894862703,0.0,1.1112321737062774,0.0,0.0
57,0.0,0.0,0.0,1.1659425293403072,0.0,0.0,0.0,0.0,0.0,1.0124247543449783,1.1659425293403072,1.1659425293403072,0.0,0.0,1.1659425293403072,0.0,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,0.596466609571982,1.1659425293403072,0.0,1.1659425293403072,0.0,1.0124247543449783,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0408161783164032,1.0408161783164032,1.0408161783164032,1.0408161783164032,0.0,0.0,0.0,0.0,0.0,0.90377358843448,1.0408161783164032,1.0408161783164032,0.0,0.0,1.0408161783164032,1.0408161783164032,0.0,0.0,1.0408161783164032,1.0408161783164032,0.5324551437533626,1.0408161783164032,0.0,1.0408161783164032,1.0408161783164032,0.90377358843448,0.0,0.0
69,1.2797324894862703,0.0,0.0,1.2797324894862703,0.0,0.0,0.0,0.0,0.0,1.1112321737062774,0.0,0.0,0.0,0.0,1.2797324894862703,0.0,1.2797324894862703,1.2797324894862703,1.2797324894862703,0.0,0.6546786655041005,1.2797324894862703,0.0,1.2797324894862703,0.0,1.1112321737062774,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
22,1.1659425293403072,0.0,0.0,1.1659425293403072,0.0,0.0,0.0,0.0,0.0,1.0124247543449783,1.1659425293403072,0.0,0.0,0.0,1.1659425293403072,1.1659425293403072,0.0,0.0,1.1659425293403072,1.1659425293403072,0.596466609571982,1.1659425293403072,0.0,1.1659425293403072,1.1659425293403072,1.0124247543449783,0.0,0.0
