target,theta,thetad,tau,dm,da,db
-2.600652260383450876e-01,-5.718503963181868072e-02,-4.598581133402249166e-01,-2.823285140284186312e+01,1.089188854833035069e+00,2.003519823955685730e+00,1.267099307117361073e+00
-2.045401988913068125e-01,-9.593980103506059842e-02,7.736570682561167978e-01,-1.907537338961591189e+01,1.165926327376704430e+00,1.126121023385760589e+00,9.621308794108864859e-01
5.592022363774429294e-01,5.160501368485516105e-01,-1.678604542500029273e-01,-2.643176911905347026e+01,1.250584051977239985e+00,1.447717910967313060e+00,1.612944656011779498e+00
-3.427375224171895773e-01,1.320615246715032276e+00,8.430021489196023454e-01,-1.090951268928860429e+01,1.395856683481209615e+00,1.682948382962469180e+00,1.706989761837159447e+00
-7.033496680543909196e-01,-2.096593729449038879e-01,7.863076211499858692e-02,-2.150750592735540678e+01,1.517481490097301489e+00,9.512355362984509233e-01,1.372140623767372780e+00
2.900877222656976229e-01,2.715860853332232594e-01,-8.636612247780236507e-01,1.808939965375709491e+01,1.368026069215831031e+00,1.131076603849721529e+00,1.730696645227854047e+00
3.174974963835496822e-01,1.129683158730435011e+00,1.130875535540636134e+00,-2.747162685537729576e+00,1.155137874062600156e+00,1.595394003807415473e+00,1.336748966968007934e+00
4.483309123447208888e-01,1.021184086583813100e+00,5.864531326368397496e-02,3.050794960180005333e+01,1.425523362946723660e+00,1.082841869796162149e+00,8.346361059510049030e-01
5.305795825272529020e-01,1.546107758437689883e+00,-3.234553381576442121e-01,-1.308145533209926192e+01,1.132915968812208796e+00,1.105415739221642601e+00,1.131110645206391263e+00
6.077165406502453848e-01,2.635693261874013094e-01,7.957300450965313354e-01,-4.785002961403905353e+00,1.036788997837299720e+00,1.864104877114646230e+00,1.233683985238399172e+00
6.779025586346825172e-01,9.535978729252138075e-01,1.934778520099036392e-01,2.148692324743105431e+01,1.205851844061005318e+00,1.443843256179447865e+00,1.817293064988571238e+00
-2.832310439204255639e-04,-3.032081825613226478e-01,6.096111916899716876e-01,-6.900359523454828725e+00,1.958608211850997316e+00,8.296328273677860965e-01,1.376398659055730223e+00
4.529375448764575984e-01,-1.312396717218286823e-01,5.235589455486607813e-01,1.472585106486063466e+01,1.064905181885284824e+00,1.335453203932879918e+00,1.972660406565873936e+00
1.310608520052725101e+00,8.984519383470003229e-01,4.206394638262453967e-01,1.702391749764506912e+01,1.601492981700938678e+00,1.733236444963225154e+00,1.614868283714604447e+00
8.781098773019029302e-01,1.440293313093858885e-01,5.044785355591816511e-01,2.064352490250770700e+01,7.265687822745032776e-01,1.419104018958948776e+00,1.613551941880682294e+00
1.063544927460652989e+00,1.052898572559443080e+00,2.080966223678823168e-01,-2.197096270183925526e+01,1.369158691857890409e+00,1.163471522180364204e+00,1.107436748576972940e+00
-2.974079035245264513e-01,1.039521580673693490e+00,-2.718984847893975987e-01,1.170510642197024964e+01,1.516083095723847585e+00,1.657814573399047697e+00,1.682686362940008395e+00
-1.079548571883066216e-02,4.706492850244788362e-01,-3.197414849585620278e-01,-8.102599160018774782e+00,8.653212306222762829e-01,1.044773879089450075e+00,1.179483277240842343e+00
6.230914649316865450e-01,4.820997076592439257e-01,-4.365834094805916554e-01,-6.584977542028500608e+00,1.624607747579164707e+00,1.550420532217951397e+00,1.251887687592379228e+00
3.271272237960743401e-01,7.930637482057384391e-01,2.413964770503274071e-02,1.505812547069454332e+01,1.250110120439494654e+00,1.075341216905057129e+00,1.895575050635402548e+00
-1.987485948942918287e-02,-5.928998734758978567e-02,4.586052196545916115e-01,9.354804373442142662e+00,1.121908787452835954e+00,1.780084213902211276e+00,1.231369671113476505e+00
8.056075569081134757e-01,1.136516822548626626e+00,9.177431111931788621e-01,-9.820879624515683304e+00,1.649373098213626543e+00,1.695900327234339811e+00,1.070998390310478499e+00
-2.079073484537090066e-01,6.378133800702062706e-01,3.491313355023438203e-01,-1.364435598271360028e+01,1.521322009929659602e+00,1.371202431976137115e+00,9.490826831677144915e-01
6.982863863400128046e-02,-5.152109982982526759e-01,-4.522706913851666792e-04,-2.308914722025102506e+01,1.443054260034414282e+00,8.736267121870624486e-01,1.371112853094962780e+00
1.385128033820659743e+00,4.275502321080420498e-01,5.994411426295893630e-01,-2.611069145823618154e+00,1.417721933202925833e+00,1.595262143384813980e+00,8.040236382121751513e-01
1.687924960076248593e-01,-7.032242053839731222e-01,-1.191723102700149584e-01,-5.030937663277690319e+00,1.145505961484563517e+00,1.530990933317734282e+00,1.041651605572567751e+00
3.636409194446775794e-01,2.119088369744206723e-01,5.718386667218858799e-01,-1.162533635991498393e+01,1.665327592976436621e+00,1.356962796976436403e+00,1.650830600161240724e+00
-2.617805288429404798e-02,1.242792801282712523e+00,-7.811541185370439733e-01,3.167896832177955702e+00,1.464752177630662011e+00,1.618014488564128328e+00,1.109343080971288531e+00
4.393433321586226459e-01,2.629746942101932050e-01,8.527324728845983026e-01,3.440479937060052062e+00,1.189565151219350359e+00,1.433201644290898358e+00,1.222721792255575979e+00
6.241273452647361220e-01,-2.338881195499771526e-01,8.499653805348148516e-01,-1.129931118956317881e+01,1.049656275918101400e+00,1.518647481503788699e+00,1.182135418177035602e+00
5.626373521825225321e-01,-3.725940802452099021e-01,-5.416388899156587833e-02,1.802142822583625303e+01,1.198384768920991439e+00,1.146579965559640257e+00,1.154305429265186644e+00
7.177555059530004167e-01,6.390117314805372761e-02,1.796879385577800081e-01,8.510813102084711090e-01,7.442214398289436206e-01,1.532781439238851684e+00,1.291737363228183666e+00
2.496623270910093562e-01,9.971494222485917380e-02,6.666752866773210107e-01,2.112865920839718470e+01,1.311642994826794251e+00,1.239806300768259151e+00,8.354833308864949570e-01
-1.593163283827358501e-01,1.173579813710692310e-01,-1.316052028565179166e-01,2.792633484051409098e+00,1.575738993253852582e+00,1.469766927031141313e+00,1.769681193544657249e+00
4.793432419220889917e-01,5.721542883668396806e-01,5.555021376553304080e-02,-1.087095840517436862e+01,7.954306949623157763e-01,1.378732672138877291e+00,1.487232764240589367e+00
-5.491498949827569032e-01,-9.125840212778394411e-01,-9.172349044564599430e-01,-3.527385097535214342e+00,1.466073236152324988e+00,1.182389363142891003e+00,1.841951097535382553e+00
-1.039303863613740969e-01,5.104077099055871480e-01,3.559388826547650875e-01,-6.082520882193349188e+00,1.140754063457909639e+00,1.274716896436874913e+00,1.221228885611028936e+00
-1.769780947319674613e-01,1.058227576980726586e-01,2.483418945523598043e-01,-1.459710594238942605e+01,1.838627469739752884e+00,1.444551024181149890e+00,1.474122744081073577e+00
5.525568454392574269e-01,2.759144410728489594e-01,-2.603657567126178574e-01,1.167544524091466229e+01,1.735368184787464463e+00,1.394925006296881653e+00,1.009654049216851091e+00
4.095854715916569244e-01,4.168827740391956027e-01,7.415448127259601785e-01,2.839533728697241077e+00,1.240106076966462689e+00,1.132121467970578887e+00,1.968418912113189423e+00
1.148967602501580199e-01,-1.473324609116777872e-01,9.184580307919277820e-01,6.545803794856385416e+00,1.030759593039685340e+00,1.079617319017682542e+00,8.452993667641147679e-01
5.758645128535463398e-01,4.932498604713419499e-01,3.834077044408967794e-01,8.112613047074896500e+00,1.370704319787629410e+00,2.059548841823264365e+00,1.145766182932198562e+00
4.082215997478064740e-01,-9.388585488435888596e-03,-3.287027054124477127e-02,1.774358913577364971e+00,1.593900526606380597e+00,1.216732201517687795e+00,1.303483815241279098e+00
-4.277574011607055970e-01,2.626525749551679723e-01,-7.152842141243858087e-01,1.546495748896947298e+01,7.985058708348949930e-01,7.151980623698537265e-01,9.572484554291404990e-01
3.228950483151283857e-01,-4.045116401457986011e-01,1.063846986600455180e-01,-2.956171097325861918e+00,1.068753472020277373e+00,1.724761866673548694e+00,1.847043177459197549e+00
3.441688224241316041e-01,1.252416921429956531e+00,3.590655298338020773e-01,9.898471789006638488e+00,7.532670798239816667e-01,1.460304858066494127e+00,1.246148653148445584e+00
-2.204833209295503915e-01,-4.207402273259808201e-01,-6.595026780142886347e-01,8.937524589895600613e+00,1.336794229048278382e+00,1.197952356357166792e+00,1.016789075929356523e+00
-1.009847295861370786e-01,3.115160573358933815e-01,8.693509797374221471e-01,-1.683701604193371892e+01,1.197762201247794422e+00,1.126020347023912960e+00,1.114739905984497126e+00
2.888769655092307542e-01,-3.600570974224256982e-01,7.163418506373048222e-01,-2.011022095775903296e+01,1.362100427572689343e+00,1.371505423205939378e+00,1.263752755457877130e+00
-4.917399178312132912e-01,1.173373736249238991e-01,-1.223168995407795556e+00,-2.996330020826384199e+01,1.149952902588355697e+00,1.085672222636590911e+00,1.293420748167033674e+00
1.238574273322598507e-01,1.152355744235570856e-01,1.994659226367051508e-02,3.261970929444561307e+01,1.164668667885692566e+00,1.019047549965257149e+00,1.252442298929634656e+00
6.688803296374771223e-01,-5.460733404357428489e-01,-8.927106335391613579e-01,-1.218845260069182812e+00,9.363378064256627775e-01,1.108604925337622449e+00,9.330741709795549177e-01
1.937297523636052621e-01,-5.632007382495470837e-01,4.256889889922499393e-01,3.535509586944017002e+01,1.216711150315705980e+00,1.361952494127986135e+00,1.072861639584961502e+00
4.949597890737474082e-02,8.824970721510091431e-01,1.060329345659305478e+00,1.781292970707073264e+00,1.310445776335088741e+00,1.422626264476633651e+00,1.022604247468192673e+00
-9.047058879695392408e-02,8.229554997594749899e-02,-3.913141487901627968e-01,9.374410326417587314e+00,1.713782726994334871e+00,1.654942453905447808e+00,1.859895413363262362e+00
1.432759324603172235e-02,-1.654281627849164826e-01,-3.842962314168863469e-01,6.116060914194018316e+00,1.490696937883401629e+00,1.190080070450055372e+00,8.212356513862393292e-01
3.802123366490136047e-01,1.072248142378996905e+00,1.032525835522781765e+00,2.162196743170388302e+01,1.520853191800039417e+00,1.344890754286302226e+00,8.592871539144653070e-01
-6.745063474570855977e-01,3.750701427687305051e-02,-1.176674836591776047e-01,2.826403292462450167e+01,1.598684467724958536e+00,9.739348806958180171e-01,1.375592804835492400e+00
1.134928748000952226e+00,9.815158147270111044e-01,1.104128530820638332e+00,5.422043843446220812e+00,9.378893771238098198e-01,1.643615146350902334e+00,8.759306416998761113e-01
3.724706331843460894e-01,1.286135285381010684e-01,-3.128851565138009438e-01,1.642070918750436803e+01,9.398793137121849162e-01,6.717037418930953407e-01,7.614698121053203872e-01
5.194532382345413701e-01,-5.022992017598424397e-01,6.468920480111233218e-01,1.973454305773584849e+01,1.246747549834501090e+00,8.608103265457175413e-01,9.637424649498820273e-01
4.327842588300424009e-01,4.804350132329231471e-01,2.442761815779693479e-01,1.202587368430451598e+01,1.651569445455742802e+00,1.329914861465255393e+00,1.505851624050584148e+00
8.203467682903141378e-02,-4.737201459235281242e-01,-1.829281625264900235e-01,-6.338606410691610904e+00,8.393438768418143292e-01,2.067854563819933045e+00,3.611256110729966218e-01
-3.180868700822864770e-01,5.758697566761887821e-01,1.478328469427195868e-01,-8.574667514183405004e+00,1.397027625096533221e+00,1.192225914626161787e+00,1.485708427424437206e+00
5.949152148572832421e-02,5.359890408135771223e-01,-9.008993548342071334e-01,1.754163521908759193e+01,1.188293181493033090e+00,1.629921959759958128e+00,1.303767991693620454e+00
1.540961954399196476e-01,-2.608453034332526843e-01,1.916034448944069213e-01,-2.599068711439125323e+01,1.420773023244248812e+00,1.651120640988407606e+00,1.309362871641299497e+00
1.252802655071917126e+00,6.637579742972570251e-01,-4.186085275290992586e-02,-5.179533255299014094e+00,1.307760950079542184e+00,1.265786894091029291e+00,1.543364448909244402e+00
